date,hits,geo,time,keyword,gprop,category
2017-06-11T00:00:00Z,61,US,today+5-y,%2Fm%2F01mw1,web,0
2017-06-18T00:00:00Z,54,US,today+5-y,%2Fm%2F01mw1,web,0
2017-06-25T00:00:00Z,54,US,today+5-y,%2Fm%2F01mw1,web,0
2017-07-02T00:00:00Z,53,US,today+5-y,%2Fm%2F01mw1,web,0
2017-07-09T00:00:00Z,53,US,today+5-y,%2Fm%2F01mw1,web,0
2017-07-16T00:00:00Z,51,US,today+5-y,%2Fm%2F01mw1,web,0
2017-07-23T00:00:00Z,52,US,today+5-y,%2Fm%2F01mw1,web,0
2017-07-30T00:00:00Z,51,US,today+5-y,%2Fm%2F01mw1,web,0
2017-08-06T00:00:00Z,50,US,today+5-y,%2Fm%2F01mw1,web,0
2017-08-13T00:00:00Z,49,US,today+5-y,%2Fm%2F01mw1,web,0
2017-08-20T00:00:00Z,49,US,today+5-y,%2Fm%2F01mw1,web,0
2017-08-27T00:00:00Z,50,US,today+5-y,%2Fm%2F01mw1,web,0
2017-09-03T00:00:00Z,51,US,today+5-y,%2Fm%2F01mw1,web,0
2017-09-10T00:00:00Z,49,US,today+5-y,%2Fm%2F01mw1,web,0
2017-09-17T00:00:00Z,49,US,today+5-y,%2Fm%2F01mw1,web,0
2017-09-24T00:00:00Z,51,US,today+5-y,%2Fm%2F01mw1,web,0
2017-10-01T00:00:00Z,53,US,today+5-y,%2Fm%2F01mw1,web,0
2017-10-08T00:00:00Z,51,US,today+5-y,%2Fm%2F01mw1,web,0
2017-10-15T00:00:00Z,54,US,today+5-y,%2Fm%2F01mw1,web,0
2017-10-22T00:00:00Z,55,US,today+5-y,%2Fm%2F01mw1,web,0
2017-10-29T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2017-11-05T00:00:00Z,61,US,today+5-y,%2Fm%2F01mw1,web,0
2017-11-12T00:00:00Z,65,US,today+5-y,%2Fm%2F01mw1,web,0
2017-11-19T00:00:00Z,84,US,today+5-y,%2Fm%2F01mw1,web,0
2017-11-26T00:00:00Z,71,US,today+5-y,%2Fm%2F01mw1,web,0
2017-12-03T00:00:00Z,68,US,today+5-y,%2Fm%2F01mw1,web,0
2017-12-10T00:00:00Z,71,US,today+5-y,%2Fm%2F01mw1,web,0
2017-12-17T00:00:00Z,76,US,today+5-y,%2Fm%2F01mw1,web,0
2017-12-24T00:00:00Z,87,US,today+5-y,%2Fm%2F01mw1,web,0
2017-12-31T00:00:00Z,66,US,today+5-y,%2Fm%2F01mw1,web,0
2018-01-07T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2018-01-14T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2018-01-21T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2018-01-28T00:00:00Z,59,US,today+5-y,%2Fm%2F01mw1,web,0
2018-02-04T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2018-02-11T00:00:00Z,59,US,today+5-y,%2Fm%2F01mw1,web,0
2018-02-18T00:00:00Z,61,US,today+5-y,%2Fm%2F01mw1,web,0
2018-02-25T00:00:00Z,63,US,today+5-y,%2Fm%2F01mw1,web,0
2018-03-04T00:00:00Z,63,US,today+5-y,%2Fm%2F01mw1,web,0
2018-03-11T00:00:00Z,66,US,today+5-y,%2Fm%2F01mw1,web,0
2018-03-18T00:00:00Z,66,US,today+5-y,%2Fm%2F01mw1,web,0
2018-03-25T00:00:00Z,68,US,today+5-y,%2Fm%2F01mw1,web,0
2018-04-01T00:00:00Z,63,US,today+5-y,%2Fm%2F01mw1,web,0
2018-04-08T00:00:00Z,63,US,today+5-y,%2Fm%2F01mw1,web,0
2018-04-15T00:00:00Z,62,US,today+5-y,%2Fm%2F01mw1,web,0
2018-04-22T00:00:00Z,59,US,today+5-y,%2Fm%2F01mw1,web,0
2018-04-29T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2018-05-06T00:00:00Z,60,US,today+5-y,%2Fm%2F01mw1,web,0
2018-05-13T00:00:00Z,61,US,today+5-y,%2Fm%2F01mw1,web,0
2018-05-20T00:00:00Z,63,US,today+5-y,%2Fm%2F01mw1,web,0
2018-05-27T00:00:00Z,69,US,today+5-y,%2Fm%2F01mw1,web,0
2018-06-03T00:00:00Z,57,US,today+5-y,%2Fm%2F01mw1,web,0
2018-06-10T00:00:00Z,71,US,today+5-y,%2Fm%2F01mw1,web,0
2018-06-17T00:00:00Z,61,US,today+5-y,%2Fm%2F01mw1,web,0
2018-06-24T00:00:00Z,61,US,today+5-y,%2Fm%2F01mw1,web,0
2018-07-01T00:00:00Z,58,US,today+5-y,%2Fm%2F01mw1,web,0
2018-07-08T00:00:00Z,56,US,today+5-y,%2Fm%2F01mw1,web,0
